# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,70000,CTLV2,700 110,,,,,,,,,,

# ##### Generell #####,,,,,,,,,,,,,
r;w,,WarmwasserTimer.Wednesday,Zeitfenster Mittwoch,,,,02,,,slot1-3,,,
r;w,,WarmwasserTimer.Thursday,Zeitfenster Donnerstag,,,,03,,,slot1-3,,,
r;w,,WarmwasserTimer.Friday,Zeitfenster Freitag,,,,04,,,slot1-3,,,
r;w,,WarmwasserTimer.Saturday,Zeitfenster Samstag,,,,05,,,slot1-3,,,
r;w,,WarmwasserTimer.Sunday,Zeitfenster Sonntag,,,,06,,,slot1-3,,,

# Zeitprogramm Zirkulationspumpe,,,,,,,,,,,,,
*r,,,,,,B524,03010002,,,IGN:1,,,whether timeslot is valid
*w,,,,,,B524,04010002,,,,,,
r;w,,ccTimer.Monday,Zeitfenster Montag,,,,00,,,slot1-3,,,
r;w,,ccTimer.Tuesday,Zeitfenster Dienstag,,,,01,,,slot1-3,,,
r;w,,ccTimer.Wednesday,Zeitfenster Mittwoch,,,,02,,,slot1-3,,,
r;w,,ccTimer.Thursday,Zeitfenster Donnerstag,,,,03,,,slot1-3,,,
r;w,,ccTimer.Friday,Zeitfenster Freitag,,,,04,,,slot1-3,,,
r;w,,ccTimer.Saturday,Zeitfenster Samstag,,,,05,,,slot1-3,,,
r;w,,ccTimer.Sunday,Zeitfenster Sonntag,,,,06,,,slot1-3,,,

# Zeitprogramme Zone 1,,,,,,,,,,,,,
*r,,,,,,B524,03030002,,,IGN:1,,,whether timeslot is valid
*w,,,,,,B524,04030002,,,,,,
r;w,,z1Timer.Monday,Zeitfenster Heizen Montag,,,,00,,,slot1-3,,,
r;w,,z1Timer.Tuesday,Zeitfenster Heizen Dienstag,,,,01,,,slot1-3,,,
r;w,,z1Timer.Wednesday,Zeitfenster Heizen Mittwoch,,,,02,,,slot1-3,,,
r;w,,z1Timer.Thursday,Zeitfenster Heizen Donnerstag,,,,03,,,slot1-3,,,
r;w,,z1Timer.Friday,Zeitfenster Heizen Freitag,,,,04,,,slot1-3,,,
r;w,,z1Timer.Saturday,Zeitfenster Heizen Samstag,,,,05,,,slot1-3,,,
r;w,,z1Timer.Sunday,Zeitfenster Heizen Sonntag,,,,06,,,slot1-3,,,
*r,,,,,,B524,03030001,,,IGN:1,,,whether timeslot is valid
*w,,,,,,B524,04030001,,,,,,
r;w,,z1CoolingTimer.Monday,Zeitfenster Kuehlen Montag,,,,00,,,slot1-3,,,
r;w,,z1CoolingTimer.Tuesday,Zeitfenster Kuehlen Dienstag,,,,01,,,slot1-3,,,
r;w,,z1CoolingTimer.Wednesday,Zeitfenster Kuehlen Mittwoch,,,,02,,,slot1-3,,,
r;w,,z1CoolingTimer.Thursday,Zeitfenster Kuehlen Donnerstag,,,,03,,,slot1-3,,,
r;w,,z1CoolingTimer.Friday,Zeitfenster Kuehlen Freitag,,,,04,,,slot1-3,,,
r;w,,z1CoolingTimer.Saturday,Zeitfenster Kuehlen Samstag,,,,05,,,slot1-3,,,
r;w,,z1CoolingTimer.Sunday,Zeitfenster Kuehlen Sonntag,,,,06,,,slot1-3,,,

# Zeitprogramme Zone 2,,,,,,,,,,,,,
*r,,,,,,B524,03030102,,,IGN:1,,,whether timeslot is valid
*w,,,,,,B524,04030102,,,,,,
r;w,,z2Timer.Monday,Zeitfenster Heizen Montag,,,,00,,,slot1-3,,,
r;w,,z2Timer.Tuesday,Zeitfenster Heizen Dienstag,,,,01,,,slot1-3,,,
r;w,,z2Timer.Wednesday,Zeitfenster Heizen Mittwoch,,,,02,,,slot1-3,,,
r;w,,z2Timer.Thursday,Zeitfenster Heizen Donnerstag,,,,03,,,slot1-3,,,
r;w,,z2Timer.Friday,Zeitfenster Heizen Freitag,,,,04,,,slot1-3,,,
r;w,,z2Timer.Saturday,Zeitfenster Heizen Samstag,,,,05,,,slot1-3,,,
r;w,,z2Timer.Sunday,Zeitfenster Heizen Sonntag,,,,06,,,slot1-3,,,
*r,,,,,,B524,03030101,,,IGN:1,,,whether timeslot is valid
*w,,,,,,B524,04030101,,,,,,
r;w,,z2CoolingTimer.Monday,Zeitfenster Kuehlen Montag,,,,00,,,slot1-3,,,
r;w,,z2CoolingTimer.Tuesday,Zeitfenster Kuehlen Dienstag,,,,01,,,slot1-3,,,
r;w,,z2CoolingTimer.Wednesday,Zeitfenster Kuehlen Mittwoch,,,,02,,,slot1-3,,,
r;w,,z2CoolingTimer.Thursday,Zeitfenster Kuehlen Donnerstag,,,,03,,,slot1-3,,,
r;w,,z2CoolingTimer.Friday,Zeitfenster Kuehlen Freitag,,,,04,,,slot1-3,,,
r;w,,z2CoolingTimer.Saturday,Zeitfenster Kuehlen Samstag,,,,05,,,slot1-3,,,
r;w,,z2CoolingTimer.Sunday,Zeitfenster Kuehlen Sonntag,,,,06,,,slot1-3,,,

